role,sector,career_stage,median_salary_local,wage_2019,wage_2020,wage_2021,wage_2022,wage_2023,emp_2019,emp_2020,emp_2021,emp_2022,emp_2023,median_salary_ppp_usd,median_salary_usd,employed_thousands,yoy_wage_growth_pct,country
software_engineer,tech,entry,90000,163000,177000,194000,200000,201500,7800,8200,9100,9600,10000,21951.0,12712.0,10000,0.75,China
software_engineer,tech,mid,200000,163000,177000,194000,200000,201500,7800,8200,9100,9600,10000,48780.0,28249.0,10000,0.75,China
software_engineer,tech,senior,450000,163000,177000,194000,200000,201500,7800,8200,9100,9600,10000,109756.0,63559.0,10000,0.75,China
lawyer,legal,entry,80000,125000,130000,138000,145000,150000,510,530,555,565,570,19512.0,11299.0,570,3.45,China
lawyer,legal,mid,150000,125000,130000,138000,145000,150000,510,530,555,565,570,36585.0,21186.0,570,3.45,China
lawyer,legal,senior,350000,125000,130000,138000,145000,150000,510,530,555,565,570,85366.0,49435.0,570,3.45,China
physician,healthcare,entry,90000,153000,155000,163000,173000,180000,3700,3800,3980,4090,4200,21951.0,12712.0,4200,4.05,China
physician,healthcare,mid,180000,153000,155000,163000,173000,180000,3700,3800,3980,4090,4200,43902.0,25424.0,4200,4.05,China
physician,healthcare,senior,360000,153000,155000,163000,173000,180000,3700,3800,3980,4090,4200,87805.0,50847.0,4200,4.05,China
financial_analyst,finance,entry,90000,135000,140000,148000,155000,160000,1200,1180,1220,1260,1300,21951.0,12712.0,1300,3.23,China
financial_analyst,finance,mid,160000,135000,140000,148000,155000,160000,1200,1180,1220,1260,1300,39024.0,22599.0,1300,3.23,China
financial_analyst,finance,senior,320000,135000,140000,148000,155000,160000,1200,1180,1220,1260,1300,78049.0,45198.0,1300,3.23,China
registered_nurse,healthcare,entry,55000,72000,78000,82000,86000,90000,4440,4700,5010,5220,5500,13415.0,7768.0,5500,4.65,China
registered_nurse,healthcare,mid,90000,72000,78000,82000,86000,90000,4440,4700,5010,5220,5500,21951.0,12712.0,5500,4.65,China
registered_nurse,healthcare,senior,150000,72000,78000,82000,86000,90000,4440,4700,5010,5220,5500,36585.0,21186.0,5500,4.65,China
civil_engineer,engineering,entry,75000,107000,113000,119000,125000,130000,5900,5800,5900,6000,6100,18293.0,10593.0,6100,4.0,China
civil_engineer,engineering,mid,130000,107000,113000,119000,125000,130000,5900,5800,5900,6000,6100,31707.0,18362.0,6100,4.0,China
civil_engineer,engineering,senior,260000,107000,113000,119000,125000,130000,5900,5800,5900,6000,6100,63415.0,36723.0,6100,4.0,China
construction_laborer,blue_collar,entry,40000,49000,52000,55000,58000,60000,58000,56000,57000,55000,53000,9756.0,5650.0,53000,3.45,China
construction_laborer,blue_collar,mid,60000,49000,52000,55000,58000,60000,58000,56000,57000,55000,53000,14634.0,8475.0,53000,3.45,China
construction_laborer,blue_collar,senior,85000,49000,52000,55000,58000,60000,58000,56000,57000,55000,53000,20732.0,12006.0,53000,3.45,China
farm_worker,agriculture,entry,18000,22000,23000,25000,27000,28000,194000,191000,188000,185000,180000,4390.0,2542.0,180000,3.7,China
farm_worker,agriculture,mid,28000,22000,23000,25000,27000,28000,194000,191000,188000,185000,180000,6829.0,3955.0,180000,3.7,China
farm_worker,agriculture,senior,40000,22000,23000,25000,27000,28000,194000,191000,188000,185000,180000,9756.0,5650.0,180000,3.7,China
manufacturing_worker,manufacturing,entry,45000,55000,57000,60000,63000,65000,99000,97000,99000,100000,100000,10976.0,6356.0,100000,3.17,China
manufacturing_worker,manufacturing,mid,65000,55000,57000,60000,63000,65000,99000,97000,99000,100000,100000,15854.0,9181.0,100000,3.17,China
manufacturing_worker,manufacturing,senior,100000,55000,57000,60000,63000,65000,99000,97000,99000,100000,100000,24390.0,14124.0,100000,3.17,China
retail_worker,services,entry,38000,47000,48000,50000,52000,55000,55000,52000,54000,55000,56000,9268.0,5367.0,56000,5.77,China
retail_worker,services,mid,55000,47000,48000,50000,52000,55000,55000,52000,54000,55000,56000,13415.0,7768.0,56000,5.77,China
retail_worker,services,senior,85000,47000,48000,50000,52000,55000,55000,52000,54000,55000,56000,20732.0,12006.0,56000,5.77,China
