role,sector,career_stage,median_salary_local,wage_2019,wage_2020,wage_2021,wage_2022,wage_2023,emp_2019,emp_2020,emp_2021,emp_2022,emp_2023,median_salary_ppp_usd,median_salary_usd,employed_thousands,yoy_wage_growth_pct,country
software_engineer,tech,entry,500000,1000000,1050000,1080000,1150000,1200000,4200,4300,4500,5100,5430,22727.0,6053.0,5430,4.35,India
software_engineer,tech,mid,1200000,1000000,1050000,1080000,1150000,1200000,4200,4300,4500,5100,5430,54545.0,14528.0,5430,4.35,India
software_engineer,tech,senior,2500000,1000000,1050000,1080000,1150000,1200000,4200,4300,4500,5100,5430,113636.0,30266.0,5430,4.35,India
lawyer,legal,entry,300000,520000,540000,545000,570000,600000,1800,1820,1840,1860,1880,13636.0,3632.0,1880,5.26,India
lawyer,legal,mid,600000,520000,540000,545000,570000,600000,1800,1820,1840,1860,1880,27273.0,7264.0,1880,5.26,India
lawyer,legal,senior,2000000,520000,540000,545000,570000,600000,1800,1820,1840,1860,1880,90909.0,24213.0,1880,5.26,India
physician,healthcare,entry,500000,750000,750000,780000,840000,900000,1200,1230,1250,1270,1300,22727.0,6053.0,1300,7.14,India
physician,healthcare,mid,900000,750000,750000,780000,840000,900000,1200,1230,1250,1270,1300,40909.0,10896.0,1300,7.14,India
physician,healthcare,senior,2500000,750000,750000,780000,840000,900000,1200,1230,1250,1270,1300,113636.0,30266.0,1300,7.14,India
financial_analyst,finance,entry,400000,620000,630000,660000,710000,750000,600,580,620,660,700,18182.0,4843.0,700,5.63,India
financial_analyst,finance,mid,750000,620000,630000,660000,710000,750000,600,580,620,660,700,34091.0,9080.0,700,5.63,India
financial_analyst,finance,senior,1800000,620000,630000,660000,710000,750000,600,580,620,660,700,81818.0,21792.0,700,5.63,India
registered_nurse,healthcare,entry,200000,290000,300000,310000,335000,360000,3100,3300,3500,3700,3800,9091.0,2421.0,3800,7.46,India
registered_nurse,healthcare,mid,360000,290000,300000,310000,335000,360000,3100,3300,3500,3700,3800,16364.0,4358.0,3800,7.46,India
registered_nurse,healthcare,senior,600000,290000,300000,310000,335000,360000,3100,3300,3500,3700,3800,27273.0,7264.0,3800,7.46,India
civil_engineer,engineering,entry,350000,500000,510000,520000,560000,600000,2000,1900,2000,2100,2200,15909.0,4237.0,2200,7.14,India
civil_engineer,engineering,mid,600000,500000,510000,520000,560000,600000,2000,1900,2000,2100,2200,27273.0,7264.0,2200,7.14,India
civil_engineer,engineering,senior,1400000,500000,510000,520000,560000,600000,2000,1900,2000,2100,2200,63636.0,16949.0,2200,7.14,India
construction_laborer,blue_collar,entry,80000,90000,85000,95000,110000,120000,60000,55000,58000,62000,65000,3636.0,969.0,65000,9.09,India
construction_laborer,blue_collar,mid,120000,90000,85000,95000,110000,120000,60000,55000,58000,62000,65000,5455.0,1453.0,65000,9.09,India
construction_laborer,blue_collar,senior,160000,90000,85000,95000,110000,120000,60000,55000,58000,62000,65000,7273.0,1937.0,65000,9.09,India
farm_worker,agriculture,entry,50000,60000,65000,68000,74000,80000,200000,195000,196000,198000,200000,2273.0,605.0,200000,8.11,India
farm_worker,agriculture,mid,80000,60000,65000,68000,74000,80000,200000,195000,196000,198000,200000,3636.0,969.0,200000,8.11,India
farm_worker,agriculture,senior,110000,60000,65000,68000,74000,80000,200000,195000,196000,198000,200000,5000.0,1332.0,200000,8.11,India
manufacturing_worker,manufacturing,entry,120000,160000,160000,170000,185000,200000,60000,57000,59000,61000,63000,5455.0,1453.0,63000,8.11,India
manufacturing_worker,manufacturing,mid,200000,160000,160000,170000,185000,200000,60000,57000,59000,61000,63000,9091.0,2421.0,63000,8.11,India
manufacturing_worker,manufacturing,senior,350000,160000,160000,170000,185000,200000,60000,57000,59000,61000,63000,15909.0,4237.0,63000,8.11,India
retail_worker,services,entry,100000,140000,140000,150000,165000,180000,50000,47000,49000,51000,55000,4545.0,1211.0,55000,9.09,India
retail_worker,services,mid,180000,140000,140000,150000,165000,180000,50000,47000,49000,51000,55000,8182.0,2179.0,55000,9.09,India
retail_worker,services,senior,320000,140000,140000,150000,165000,180000,50000,47000,49000,51000,55000,14545.0,3874.0,55000,9.09,India
