role,sector,career_stage,median_salary_local,wage_2019,wage_2020,wage_2021,wage_2022,wage_2023,emp_2019,emp_2020,emp_2021,emp_2022,emp_2023,median_salary_ppp_usd,median_salary_usd,employed_thousands,yoy_wage_growth_pct,country
software_engineer,tech,entry,73670,107900,110140,120730,127260,130160,1775,1731,1688,1795,1825,73670.0,73670.0,1825,2.28,USA
software_engineer,tech,mid,130160,107900,110140,120730,127260,130160,1775,1731,1688,1795,1825,130160.0,130160.0,1825,2.28,USA
software_engineer,tech,senior,208620,107900,110140,120730,127260,130160,1775,1731,1688,1795,1825,208620.0,208620.0,1825,2.28,USA
lawyer,legal,entry,64150,122960,126930,127990,136260,145760,670,665,682,691,698,64150.0,64150.0,698,6.97,USA
lawyer,legal,mid,145760,122960,126930,127990,136260,145760,670,665,682,691,698,145760.0,145760.0,698,6.97,USA
lawyer,legal,senior,239200,122960,126930,127990,136260,145760,670,665,682,691,698,239200.0,239200.0,698,6.97,USA
physician,healthcare,entry,100000,208000,208000,208000,224000,229300,713,693,728,738,748,100000.0,100000.0,748,2.37,USA
physician,healthcare,mid,229300,208000,208000,208000,224000,229300,713,693,728,738,748,229300.0,229300.0,748,2.37,USA
physician,healthcare,senior,350000,208000,208000,208000,224000,229300,713,693,728,738,748,350000.0,350000.0,748,2.37,USA
financial_analyst,finance,entry,53690,85660,83660,91580,96220,99890,329,296,312,327,333,53690.0,53690.0,333,3.81,USA
financial_analyst,finance,mid,99890,85660,83660,91580,96220,99890,329,296,312,327,333,99890.0,99890.0,333,3.81,USA
financial_analyst,finance,senior,171010,85660,83660,91580,96220,99890,329,296,312,327,333,171010.0,171010.0,333,3.81,USA
registered_nurse,healthcare,entry,57180,73300,75330,77600,81220,81220,3096,3130,3238,3238,3238,57180.0,57180.0,3238,0.0,USA
registered_nurse,healthcare,mid,81220,73300,75330,77600,81220,81220,3096,3130,3238,3238,3238,81220.0,81220.0,3238,0.0,USA
registered_nurse,healthcare,senior,113300,73300,75330,77600,81220,81220,3096,3130,3238,3238,3238,113300.0,113300.0,3238,0.0,USA
civil_engineer,engineering,entry,60840,86640,88050,88050,94360,95890,329,330,329,337,338,60840.0,60840.0,338,1.62,USA
civil_engineer,engineering,mid,95890,86640,88050,88050,94360,95890,329,330,329,337,338,95890.0,95890.0,338,1.62,USA
civil_engineer,engineering,senior,153590,86640,88050,88050,94360,95890,329,330,329,337,338,153590.0,153590.0,338,1.62,USA
construction_laborer,blue_collar,entry,31000,37080,38440,39520,42600,44850,1380,1349,1360,1428,1434,31000.0,31000.0,1434,5.28,USA
construction_laborer,blue_collar,mid,44850,37080,38440,39520,42600,44850,1380,1349,1360,1428,1434,44850.0,44850.0,1434,5.28,USA
construction_laborer,blue_collar,senior,63000,37080,38440,39520,42600,44850,1380,1349,1360,1428,1434,63000.0,63000.0,1434,5.28,USA
farm_worker,agriculture,entry,25000,29200,30160,31460,33760,35020,800,790,785,795,800,25000.0,25000.0,800,3.73,USA
farm_worker,agriculture,mid,35020,29200,30160,31460,33760,35020,800,790,785,795,800,35020.0,35020.0,800,3.73,USA
farm_worker,agriculture,senior,48000,29200,30160,31460,33760,35020,800,790,785,795,800,48000.0,48000.0,800,3.73,USA
manufacturing_worker,manufacturing,entry,28000,40760,41780,43780,44880,45040,9300,8900,9100,9200,9000,28000.0,28000.0,9000,0.36,USA
manufacturing_worker,manufacturing,mid,45040,40760,41780,43780,44880,45040,9300,8900,9100,9200,9000,45040.0,45040.0,9000,0.36,USA
manufacturing_worker,manufacturing,senior,68000,40760,41780,43780,44880,45040,9300,8900,9100,9200,9000,68000.0,68000.0,9000,0.36,USA
retail_worker,services,entry,25000,31480,32370,33890,35570,36530,4400,4100,4200,4200,4186,25000.0,25000.0,4186,2.7,USA
retail_worker,services,mid,36530,31480,32370,33890,35570,36530,4400,4100,4200,4200,4186,36530.0,36530.0,4186,2.7,USA
retail_worker,services,senior,52000,31480,32370,33890,35570,36530,4400,4100,4200,4200,4186,52000.0,52000.0,4186,2.7,USA
