role,wage_2019,wage_2020,wage_2021,wage_2022,wage_2023,emp_2019,emp_2020,emp_2021,emp_2022,emp_2023
software_engineer,163000,177000,194000,200000,201500,7800,8200,9100,9600,10000
lawyer,125000,130000,138000,145000,150000,510,530,555,565,570
physician,153000,155000,163000,173000,180000,3700,3800,3980,4090,4200
financial_analyst,135000,140000,148000,155000,160000,1200,1180,1220,1260,1300
registered_nurse,72000,78000,82000,86000,90000,4440,4700,5010,5220,5500
civil_engineer,107000,113000,119000,125000,130000,5900,5800,5900,6000,6100
construction_laborer,49000,52000,55000,58000,60000,58000,56000,57000,55000,53000
farm_worker,22000,23000,25000,27000,28000,194000,191000,188000,185000,180000
manufacturing_worker,55000,57000,60000,63000,65000,99000,97000,99000,100000,100000
retail_worker,47000,48000,50000,52000,55000,55000,52000,54000,55000,56000
