role,sector,career_stage,median_salary_local
software_engineer,tech,entry,90000
software_engineer,tech,mid,200000
software_engineer,tech,senior,450000
lawyer,legal,entry,80000
lawyer,legal,mid,150000
lawyer,legal,senior,350000
physician,healthcare,entry,90000
physician,healthcare,mid,180000
physician,healthcare,senior,360000
financial_analyst,finance,entry,90000
financial_analyst,finance,mid,160000
financial_analyst,finance,senior,320000
registered_nurse,healthcare,entry,55000
registered_nurse,healthcare,mid,90000
registered_nurse,healthcare,senior,150000
civil_engineer,engineering,entry,75000
civil_engineer,engineering,mid,130000
civil_engineer,engineering,senior,260000
construction_laborer,blue_collar,entry,40000
construction_laborer,blue_collar,mid,60000
construction_laborer,blue_collar,senior,85000
farm_worker,agriculture,entry,18000
farm_worker,agriculture,mid,28000
farm_worker,agriculture,senior,40000
manufacturing_worker,manufacturing,entry,45000
manufacturing_worker,manufacturing,mid,65000
manufacturing_worker,manufacturing,senior,100000
retail_worker,services,entry,38000
retail_worker,services,mid,55000
retail_worker,services,senior,85000
