role,wage_2019,wage_2020,wage_2021,wage_2022,wage_2023,emp_2019,emp_2020,emp_2021,emp_2022,emp_2023
software_engineer,1000000,1050000,1080000,1150000,1200000,4200,4300,4500,5100,5430
lawyer,520000,540000,545000,570000,600000,1800,1820,1840,1860,1880
physician,750000,750000,780000,840000,900000,1200,1230,1250,1270,1300
financial_analyst,620000,630000,660000,710000,750000,600,580,620,660,700
registered_nurse,290000,300000,310000,335000,360000,3100,3300,3500,3700,3800
civil_engineer,500000,510000,520000,560000,600000,2000,1900,2000,2100,2200
construction_laborer,90000,85000,95000,110000,120000,60000,55000,58000,62000,65000
farm_worker,60000,65000,68000,74000,80000,200000,195000,196000,198000,200000
manufacturing_worker,160000,160000,170000,185000,200000,60000,57000,59000,61000,63000
retail_worker,140000,140000,150000,165000,180000,50000,47000,49000,51000,55000
