role,sector,career_stage,median_salary_local
software_engineer,tech,entry,500000
software_engineer,tech,mid,1200000
software_engineer,tech,senior,2500000
lawyer,legal,entry,300000
lawyer,legal,mid,600000
lawyer,legal,senior,2000000
physician,healthcare,entry,500000
physician,healthcare,mid,900000
physician,healthcare,senior,2500000
financial_analyst,finance,entry,400000
financial_analyst,finance,mid,750000
financial_analyst,finance,senior,1800000
registered_nurse,healthcare,entry,200000
registered_nurse,healthcare,mid,360000
registered_nurse,healthcare,senior,600000
civil_engineer,engineering,entry,350000
civil_engineer,engineering,mid,600000
civil_engineer,engineering,senior,1400000
construction_laborer,blue_collar,entry,80000
construction_laborer,blue_collar,mid,120000
construction_laborer,blue_collar,senior,160000
farm_worker,agriculture,entry,50000
farm_worker,agriculture,mid,80000
farm_worker,agriculture,senior,110000
manufacturing_worker,manufacturing,entry,120000
manufacturing_worker,manufacturing,mid,200000
manufacturing_worker,manufacturing,senior,350000
retail_worker,services,entry,100000
retail_worker,services,mid,180000
retail_worker,services,senior,320000
