role,wage_2019,wage_2020,wage_2021,wage_2022,wage_2023,emp_2019,emp_2020,emp_2021,emp_2022,emp_2023
software_engineer,107900,110140,120730,127260,130160,1775,1731,1688,1795,1825
lawyer,122960,126930,127990,136260,145760,670,665,682,691,698
physician,208000,208000,208000,224000,229300,713,693,728,738,748
financial_analyst,85660,83660,91580,96220,99890,329,296,312,327,333
registered_nurse,73300,75330,77600,81220,81220,3096,3130,3238,3238,3238
civil_engineer,86640,88050,88050,94360,95890,329,330,329,337,338
construction_laborer,37080,38440,39520,42600,44850,1380,1349,1360,1428,1434
farm_worker,29200,30160,31460,33760,35020,800,790,785,795,800
manufacturing_worker,40760,41780,43780,44880,45040,9300,8900,9100,9200,9000
retail_worker,31480,32370,33890,35570,36530,4400,4100,4200,4200,4186
