role,sector,career_stage,median_salary_local
software_engineer,tech,entry,73670
software_engineer,tech,mid,130160
software_engineer,tech,senior,208620
lawyer,legal,entry,64150
lawyer,legal,mid,145760
lawyer,legal,senior,239200
physician,healthcare,entry,100000
physician,healthcare,mid,229300
physician,healthcare,senior,350000
financial_analyst,finance,entry,53690
financial_analyst,finance,mid,99890
financial_analyst,finance,senior,171010
registered_nurse,healthcare,entry,57180
registered_nurse,healthcare,mid,81220
registered_nurse,healthcare,senior,113300
civil_engineer,engineering,entry,60840
civil_engineer,engineering,mid,95890
civil_engineer,engineering,senior,153590
construction_laborer,blue_collar,entry,31000
construction_laborer,blue_collar,mid,44850
construction_laborer,blue_collar,senior,63000
farm_worker,agriculture,entry,25000
farm_worker,agriculture,mid,35020
farm_worker,agriculture,senior,48000
manufacturing_worker,manufacturing,entry,28000
manufacturing_worker,manufacturing,mid,45040
manufacturing_worker,manufacturing,senior,68000
retail_worker,services,entry,25000
retail_worker,services,mid,36530
retail_worker,services,senior,52000
